keyword,title,creator,abstract,year,publisher,subject,item_url
saxons,"List of the works of native and foreign line-engravers in England, from Henry VIII to the Commonwealth,",,"""Reprinted for private distribution by order of the Trustees from 'Early engravers and engraving in England,' by Sidney Colvin ... 1905."" Library of Congress. Lessing J. Rosenwald collection, 2439 LC copy: Interleaved, and annotated by Howard C. Levis. Inserted are: Letter of transmittal from the Trustees of the British Museum to H. C. Levis, dated June 13th, 1912; and a reprint ""From the proceedings of the Society of Antiquaries, June 28, 1917"" (4 p. 2 plates) LC copy has bookplate of Howard C. Levis. LAC knj 2019-09-13 update (1 card) LAC ddw 2022-05-24 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-05-24",1912,,england | engraving,https://www.loc.gov/item/50047865/
saxons,"Thane's catalogue for 1774, of a curious collection of prints, and books of prints : containing a great variety of fine historical, &c. prints, by the most esteemed antient and modern masters, including several thousand English & foreign portraits ... : the whole collected abroad & at home at great expence, and will begin to be sold this May, 1774 ... by John Thane, print-seller and medalist ... in Prince's-Street, St. Ann's, Soho",,"""An appendix to this catalogue will soon be published, containing a curious collection of drawings, printed books, mss., coins, medals, pictures, and other curiosities; including a few prints since purchased""---p. 131. [A]1[=R6] B-Q⁴ R⁶(-R6). ""Books published by J. Thane"": p. [132]. English short title catalogue, T171958 LC copy: Gift of Lessing J. Rosenwald, 1943-1975. Has bookplate of Howard C. Levis. LAC knj 2019-09-13 update (2 cards) LAC ddw 2022-08-16 update (1 card)",1774,,prints | catalogs,https://www.loc.gov/item/82465521/
saxons,Incunabula xylographica et chalcographica... Bilderhandschriften... Reiberdrucke u holzschnitte... Gravures xylogr. au frotton,,"Title is within ornamental border copied from the Herodotus of Giov. and Gregorio de Gregoriis, Venice, 1494. Notes, etc., in French and German. LAC scc 2019-05-15 update (2 cards) Conflicting info: on rsl card copy 2 is Rosenwald Ref Coll. LAC scc 2019-05-15. General shelf list (gsl) also indicates copy 2 is Rosenwald Ref copy, but cataloger changed Rosenwald Ref copy to 3 due to existing copy 2 at Ft Meade. he19 2024-04-29",1892,,illustrated books | munich | 15th and 16th centuries | bibliography | incunabula | engraving | history | germany | block books | catalogs,https://www.loc.gov/item/01006027/
saxons,"Catalogvs bibliothecæ Thvanæ. a clariss VV. Petro & Jacobo Puteanis, ordine alphabetico primùm distributus :Tum secundum scientias & artes á clariss. viro Ismaele Bullialdo digestus. Nunc vero editus á Josepho Quesnel.",,"Added engraved title page: Bibliotheca Thuana Library of Congress. Lessing J. Rosenwald collection, 1413 Also available in digital form on the Library of Congress Web site. LAC scc 2019-05-03 update (1 card) LAC ddw 2022-02-15 update (1 card)",1679,,paris | books | classification | rare books | bibliography | private libraries | early printed books | early works to 1800 | france | catalogs,https://www.loc.gov/item/29020378/
saxons,"A catalogue of engravers, who have been born, or resided in England;",,"Library of Congress. Lessing J. Rosenwald collection, 2645 English short title catalogue, T63187 Includes index. LAC knj 2019-09-23 update (1 card) LAC ddw 2022-06-14 update (1 card) Rosenwald collection copy listed without call number or copy number in Rosenwald bibliography. LAC ddw 2022-06-14",1765,,biography | great britain | engravers | early works to 1800,https://www.loc.gov/item/12011904/
saxons,"The castrations of the last edition of Holinshed's chronicle, both in the Scotch and English parts, containing forty four sheets; printed with the old types and ligatures, and compared literatim by the original.",,"Gothic type; double columns. Immediately after the publication of the 2d ed. (1586-87) of Holinshed's Chronicles the Privy council ordered extensive expurgations. These were for the first time republished in the present edition under the editorship of J. Blackbourne. Cf. ESTC. Library of Congress. Lessing J. Rosenwald collection, 1739 English short title catalogue, T201210 Also available in digital form on the Library of Congress Web site. LAC knj 2019-02-22 update (1 card) LAC ddw 2022-03-31 update (1 card)",1723,,england | to 1485 | london | history | great britain,https://www.loc.gov/item/02013344/
saxons,Chants et chansons populaires de la France.,,"Each volume has added engraved title pages. Cover of 3d series dated 1844. Engravings after Steinheil, Trimolet, Daubigny, and others. Text on pages containing illustrations is also engraved. A few ""notices"" in the 1st series, most of those in the 2d series, and all of those in the 3d series are by T. M. Dumersan; the rest are by Ourry, Le Roux de Lincy, and others. Piano accompaniments by H. R. Colet. Library of Congress. Lessing J. Rosenwald collection, 1931 Also available in digital form on the Library of Congress Web site. LAC knj 2019-08-26 update (1 card) LAC ddw 2022-04-20 update (1 card)",1843,,"folk songs, french | songs, french | ballads, french",https://www.loc.gov/item/17022433/
saxons,"Relation en forme de journal du voyage et sejour, que le serenissime ... prince Charles II roy de la Grand' Bretagne, &c. a fait en Hollande depuis le 25 may jusques au 2 juin 1660",,"Library of Congress. Lessing J. Rosenwald collection, 1439 LAC knj 2019-03-12 no edits (1 card) LAC ddw 2022-02-17 update (1 card)",1660,,ii | hague | charles | netherlands | early works to 1800 | visits of state | king of england,https://www.loc.gov/item/65059236/
saxons,Journal,,Quadrennial Holdings: 7th (1840); 10th (1852); 18th (1884); 19th (1888); 21st (1900); 36th (1960) Also available in digital form on the Library of Congress Web site. LAC ael 2019-02-26 update (1 card),1816,,,https://www.loc.gov/item/55045543/
saxons,"The life and works of Thomas Bewick; being an account of his career and achievements in art, with a notice of the works of John Bewick,",,Limited ed. of 250 copies. LC has copy no. 142. Form AACR2 vj03 28sep83. LAC nsk 2019-09-16 no edits (2 cards) LAC ecr 2019-09-26 review,1882,,"england | bewick, john | biography | wood-engravers | bewick, thomas",https://www.loc.gov/item/01003819/
saxons,Prints and books : informal papers,,"The essays are chiefly about prints and books in the Metropolitan Museum of Art. Gift of Lessing J. Rosenwald, 1943-1975. LAC knj 2019-09-12 no edits (1 card)",1926,,illustrated books | decoration and ornament | wood-engraving | engraving,https://www.loc.gov/item/26010857/
saxons,"Richardson's catalogue : a large and curious collection of English and foreign portraits, topography and historical prints, by ancient and modern masters; drawings, books, and books of prints, now selling, with the prices affixed to each, at Mr. Richardson's Print Warehouse",,"Signatures: [A]² B-S⁴ (P1 signed ""O1""). English short title catalogue, T13089 LC copy: Gift of Lessing J. Rosenwald, 1943-1975. Has bookplate of Howard C. Levis. LAC knj 2019-09-13 update (1 card) LAC ddw 2022-08-08 update (1 card)",1791,,prints | catalogs | early works to 1800,https://www.loc.gov/item/82465523/
saxons,"Practical hints on decorative printing : with illustrations engraved on wood, and printed in colours at the type press /",,"vi, 118 p., [49] leaves of plates : ill. (some col.) ; 27 cm.",1823,,printing | specimens | color printing | engraving,https://www.loc.gov/item/06018150/
saxons,Das schach- oder könig-spiel,,"Colophon (under woodcut printer's device with monogram H.G.): Leipzig, Gedruckt durch Lorentz Kober. Bey Henning Gross den Jüngern zu finden. Im jahr M.DC.XVI. Engraved and illustrated t.-p. and special t.-p. for each of the three books and the Rythmomachia. Head and tail pieces ; initials. The plate after p. 216 is signed: J. ab Heyden sculpsit. The order of games follows that of ""Il giuoco degli scacchi"" by Ruy Lopez, from which Bilguer claims it is largely translated. cf. P. R. von Bilguer, Handbuch des schachspiels, p. 29-30. Rythmomachia, p. 445-495, has title: Rythmomachia. Ein vortrefflich und uhraltes spiel, dess Pythagoræ: welches Gustavus Selenus [pseud.] auss des Francisci Barozzii ... ins deutsche ubergesetzet ... apud Henningum Gros, Jun. M.DC.XVI. LC copy has author's autograph note of presentation to his mother, dated 25 Jan. 1617, on verso t.-p. LAC tnb 2019-06-25 update (3 cards) LAC rwp 2021-06-24 update (3 cards)",1616,,authors' presentation copies (provenance) | chess | authors' autographs (provenance) | dlc | early works to 1800,https://www.loc.gov/item/31012930/
saxons,"The lavves and acts of Parliament, maid be King Iames the First, and his royal successours kinges of Scotland : visied, collected and extracted furth of the register : the contentes of this buik, are expremed in the leafe following",,"Signatures: pi⁴ a-z⁶ 2a-2d⁶ A-2C⁶ 2D⁴ 2E-2G⁶ ²A-²D⁴ ²E⁶ ²⁶F ²G² ²H-²S⁶. Compiled by John Skene. Added engraved title page. A 1599 reissue of the 1597 edition, with ""De verborum significatione"" reprinted. Cf. ESTC. Library of Congress. Lessing J. Rosenwald collection, 1264 Pollard, A.W. Short-title catalogue of books printed in England, Scotland, & Ireland and of English books printed abroad, 1475-1640 (2nd ed.), 1219:08 English short title catalogue (ESTC), S123343 National union catalog (pre-1956 imprints), NS 0337361 (vol. 533, p. 604) LC copy imperfect: The 4th prelim. leaf (including the table of contents), signatures F⁶-G² at end (including the Table of kings and the Table of moveable feasts), and the genealogical table wanting. LC copy has bookplates of Chas. Sharp of Hoddom Esqr. and Howard C. Levis. Inscirption: Arch Sholto Doughlas, Birkhill (Archibald Sholto Douglas). LAC ael 2019-10-15 create (3 cards)",1599,,law | kings and rulers | early works to 1800 | scotland | edinburgh,https://www.loc.gov/item/54000070/
saxons,"A catalogue of twenty thousand engraved portraits, chiefly of personages connected with the history and literature of Great Britain, on sale at the annexed prices,",,"Book-plate of Howard C. Levis. Gift of Lessing J. Rosenwald, 1943-1975. LAC knj 2019-09-17 update (1 card)",1883,,biography | portraits | portrait prints | great britain | catalogs,https://www.loc.gov/item/12017888/
saxons,Fine books,,"""First published in 1912""--Title page verso. Includes bibliographical references (pages 309-318) and index. LC copy has bookplate of Howard C. Levis on front paste-down.",1912,,history | printing | illustration of books,https://www.loc.gov/item/2023657001/
saxons,"The Book of trades : or, Circle of the useful arts : illustrated by engravings and woodcuts",,"Added engraved t.p., illustrated. Includes index. Gift of Lessing J. Rosenwald, 1943-1975. Book-plate of Howard C. Levis. LAC nsk 2019-07-23 update (1 card)",1861,,occupations,https://www.loc.gov/item/81186380/
saxons,"The life of George Cruikshank, in two epochs,",,"National union catalog, pre-1956 imprints, NJ 0087636 (vol. 279, p. 661) LAC ael 2019-09-09 update (1 card) LAC ddw 2022-07-13 update (1 card)",1882,,"cruikshank, george",https://www.loc.gov/item/10018641/
saxons,The handmaid to the arts,,"By Robert Dossie. ""The whole being calculated, as well for conveying a more accurate and extensive knowledge of the matters treated of to professed artists, and to initiate those who are desirous to attempt these arts, into the method of preparing and using all the colours and other substances employed in painting in oil, miniature, crayons, encaustic, enamel, varnish, distemper, and fresco, as also in gilding, &c."": v. 1 title page. Vol. 1: xxvii, [9], 522, [10] p.; v. 2: xiv, [14], 462, [10] p. Sowerby, E.M. Cat. of the lib. of Thomas Jefferson, 1094 Library of Congress. Lessing J. Rosenwald collection, 2516 Includes indexes. LC copy forms part of the Jefferson Exhibit Collection. With inscriptions: W. Sherbrooke. TP144.D72 Copy 1 transferred from the Pre-1801 Imprint Collection to the Jefferson Exhibit Collection. he04 2014-01-24 LAC ddw 2022-06-02 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-02",1764,,"paint | chemistry, technical | glass | engraving | porcelain | painting | england | art | london | early works to 1800",https://www.loc.gov/item/04007587/
saxons,"Mechanic exercises, or, The doctrine of handy-works : began Jan. 1, 1677, and intended to be monthly continued",,"Vol. 1, without general t.p., consists of 14 numbers with title pages dated 1677-1680; v. 2, with t.p. dated 1683, consists of 24 numbers without special title pages. Vol. 2 has title: Mechanick exercises, or, The doctrine of handy-works, applied to the art of printing. Vol. 1 treats of smithing, joinery, house-carpentry, and turning. Vol. 2 was probably completed during the summer of 1684. Cf. 1962 ed. of v. 2 by H. Davis and H. Carter, p. xlix. Vol. 1: [6], 242, [8] p., excluding frontispiece ports., title pages of numbers II-XIV, and 18 ""plates""; v. 2: [4], 394 p., excluding [2] leaves of ports., 33 ""plates"" and missing final leaf (probably blank). Some of the ""plates"" in each vol. are conjugate with leaves of text. LC copy bound in 1 v. Plate 10 of v. 1 is bound out of order, facing p. 175. Plates 10 and 24 of v. 2 are misbound in v. 1, facing pages 83 and 213 respectively. Frontispiece in v. 1 is mounted. Wing M3013 (v. 2 covered by M3014?) Provenance: Oscar Aurelius Morgner (ex libris); Carl W. Jones (book label) LAC ecr 2019-02-07 update (3 cards)",1677,,industrial arts | early works to 1800 | sundials,https://www.loc.gov/item/81482875/
saxons,"Annales de la typographie français et étrangère : Journal spécial de l'imprimerie, de la fonderie, de la gravure, del la librairie et de la papeteria",,"Monthly. 1.-3. année (no. 1-30; sept. 1838-déc. 1840. Library of Congress. Lessing J. Rosenwald collection, 1923 Separately numbered supplements accompany issues for Dec. 1838, Jan. 1839, Dec. 1839, Jan. 1840. PREMARC/SERLOC merged record LAC ddw 2022-04-20 no edits (1 card)",1838,,booksellers and bookselling | periodicals | engraving | france | papermaking | franc | printing,https://www.loc.gov/item/65058828/
saxons,"Catalogue de la bibliothèque du Chateau de Rambouillet, appartenant à Son Altesse Sérénissime monseigneur le comte de Toulouse.",,"Library of Congress. Lessing J. Rosenwald collection, 2639 --Supplement du Catalogue [Paris] 1716. LAC scc 2019-05-13 update (1 card) LAC ddw 2022-06-14 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-14",1708,,bibliography | rare books | private libraries | catalogs | early printed books | france | early works to 1800,https://www.loc.gov/item/53000429/
saxons,Memories,,RSL card formerly identified Rosenwald Collection copy as copy 2. LAC ecr 2019-03-13 LAC ecr 2019-03-13 update (1 card) LAC ddw 2022-09-01 update (1 card),1912,,19th century | great britain | intellectual life,https://www.loc.gov/item/13000622/
saxons,"Tableaux topographiques, pittoresques, physiques, historiques, moraux, politiques, littéraires de la Suisse",,"Title of v. 2 of text and atlas: Tableaux de la Suisse, ou Voyage pittoresque fait dans le treize cantons et étas alliés du corps helvétique ... par M. le Baron de Zurlauben. Ouvrage exécute aux frais et par les soins de m. de Laborde ... Dedication signed: Laborde. Library of Congress. Lessing J. Rosenwald collection, 1693 LAC brd 2019-04-04 update (2 cards) LAC rwp 2019-04-08 review LAC ddw 2022-03-23 update (1 card)",1780,,basel | pictorial works | switzerland | description and travel | paris | france,https://www.loc.gov/item/05007930/
saxons,"Principia typographica. The block-books, or xylographic delineations of scripture history; issued in Holland, Flanders and Germany, during the fifteenth century, exemplified and considered in connexion with the origin of printing. To which is added an attempt to elucidate the character of the paper-marks of the period",,"Of the 250 copies printed, 220 were sold at auction May 5, 1858. Form AACR2: VJ56 1-29-85. Multiple volumes, but only 1 item record; Z240.S7124 1858 Copy 4-- ""Ms. Letter from James Richardson to John Scott, dated Dec. 14, 1898, laid in vol. 1; Book-plate of Howard C. Levis."" LAC ecr 2019-03-25 LAC ecr 2019-03-26 no edits (3 cards)",1858,,watermarks | block books | origin and antecedents | history | printing,https://www.loc.gov/item/03025369/
saxons,"Cosmographie, ou description des quatre parties du monde, contenant la situation, diuision & estendue de chascune region & prouince d'icelles,",,"Library of Congress. Lessing J. Rosenwald collection, 1205 Also available in digital form on the Library of Congress Web site. LC copy has written on t.p. in manuscript: Celestino[rum symbol] [Beatae] Marie de Parisiis ex donis parentu' f.N. Mailhard. Also includes same manuscript note at end on verso of last leaf of text ""... Nicolas Mailhard"". LC copy: Provenance: C. P. Serrure; Duc d'Arenberg. LAC scc 2019-06-21 update (1 card)",1581,,antwerp | cosmography | belgium | early works to 1800 | geography,https://www.loc.gov/item/65059054/
saxons,"Elements of science and art, being a familiar introduction to natural philosophy and chemistry. Together with their application to a variety of elegant and useful arts",,"Library of Congress. Lessing J. Rosenwald collection, 2566 LAC ddw 2022-06-06 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-06",1808,,"chemistry, technical | science | technology",https://www.loc.gov/item/50014347/
saxons,[Composite atlas of maps by Gerard Mercator],,"Composite atlas containing 58 of the 107 maps published in the 1595 Atlas sive Cosmographicae. Some of the maps may be from the parts published in 1585 and 1589 rather than from the complete atlas issued in 1595. Relief shown pictorially. Title provided by cataloger. Lacks all title pages and indexes, except for ""Index locorvm tabvlae generalis Belgii Inferioris"" bound between maps 27 and 28. List of geographical atlases in the Library of Congress, 5919",1595,,world atlases | composite atlases | early maps,https://www.loc.gov/item/2020587765/
saxons,"Typographical antiquities, or, The history of printing in England, Scotland, and Ireland : containing memoirs of our ancient printers, and a register of the books printed by them",,"Vols. 1-2 published 1810-1812; v. 3, 1816, by J. Murray; v. 4, 1819, by Longman, Hurst, Rees, Orme, and Brown. ""List of authors referred to"": v. 1, p. [375]-379. Includes index. LC copy: Autograph: Herbert, William. LC copy of large paper issue sold at Sotheby's June 2, 1908 as part of the Maitland Club collection. vj15 2/8/85. Recat. to AACR2: vj56 2/8/85. Z151.A512 Copy 4 formerly shelved under: LAW Gt. Brit. 7 Ames LLRBR LAC tnb 2021-06-23 no edits (5 cards) LAC tnb 2021-06-02 no edits (5 cards) LAC tnb 2021-05-24 no edits (5 cards) LAC knj 2019-05-01 no edits (10 cards) Missing additional 500 fields. LAC knj 2019-05-01",1810,,dlc | incunabula | printers | 16th century | autographs (provenance) | early printed books | imprints | printing | history | biography | great britain | bibliography,https://www.loc.gov/item/02002021/
saxons,Tēs Kainēs Diathēkēs hapanta = Novum Iesv Christi Domini Nostri Testamentum.,,"Romanized. Colphon : Absolvtvm Kalendis Martijs anno D. 1629. Library of Congress. Lessing J. Rosenwald collection, 1384 Also available in digital form on the Library of Congress Web site. LAC brd 2018-12-07 update (1 card) LAC ddw 2022-02-14 update (1 card)",1629,,france | sedan,https://www.loc.gov/item/66089545/
saxons,Researches into the history of playing cards; with illustrations of the orgin of printing and engraving on wood,,"""Only 250 copies printed.""--Cf. Rosenwald. Library of Congress. Lessing J. Rosenwald collection, 2629 LAC tnb 2019-06-24 update (1 card) LAC ddw 2022-06-14 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-14",1816,,card games | history,https://www.loc.gov/item/05025426/
saxons,"More about collecting,",,"Sequel to the author's ABC about collecting. 1910. Gift of Lessing J. Rosenwald, 1943-1975. Form AACR 2; vj51 10-11-83. LAC ael 2021-03-09 no edits (1 card)",1913,,collectors and collecting,https://www.loc.gov/item/a14001354/
saxons,"A parallel of the antient architecture with the modern : in a collection of ten principal authors who have written upon the five orders, viz. Palladio and Scamozzi, Serlio and Vignola, D. Barbaro and Cataneo, L.B. Alberti and Viola, Bullant and De Lorme, compared with one another. The three Greek orders, Dorique, Ionique, and Corinthian, comprise the first part of this treatise. And the two Latine, Tuscan and Composita the latter",,"English translation of: Parallèle de l'architecture antique et de la moderne. Added engraved special title page with portrait reads: A paralell of architecture both ancient & moderne by Roland Freart, Sr. de Chambray with inscription ""To the most happie Memorie of Monsieur de Noyers Baron of Dangu Minster and Secretarie of State."" Signatures: pi² a⁴ *b² A⁴ B-C² D-Y⁴. English Short Title Catalogue (ESTC) R19331 Library of Congress. Lessing J. Rosenwald collection, 1510 Errata: p. 156 (i.e. 159). Bookseller's advertisement on p. [1] at end. A digital reproduction of the copy of this title found at the British Library is available from Early English Books Online (EEBO) LC copy in special armorial binding of the Tighe Family of Woodstock, County Kilkenny on front and back boards. In leather cover goold tooled slipcase. LC copy still marked: NA2812.F8 1664. Shelved in RBSCD Rosenwald Collection under Rosenwald 1510 LAC ecr 2019-10-22 no edits (1 card)",1664,,"portraits | sculpture | sublet, françois | orders | armorial bindings | early works to 1800 | architecture | ireland",https://www.loc.gov/item/47044048/
saxons,Biographical anecdotes of William Hogarth; with a catalogue of his works chronologically arranged; and occasional remarks,,"Anonymous. By John Nichols. Library of Congress. Lessing J. Rosenwald collection, 2588 English short title catalogue, T1742 With: Bowyer, William, 1699-1777. The origin of printing. 1776. 2nd edition. Bound together subsequent to publication. LAC knj 2019-04-30 update (1 card) LAC rwp 2019-05-08 review LAC ddw 2022-06-07 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-07",1781,,"artists | engraving, english | hogarth, william | england | biography | history | 18th century",https://www.loc.gov/item/06008049/
saxons,"A catalogue of English heads, or, An account of about two thousand prints, describing what is peculiar on each; as the name, title, or office of the person ... The name of the painter, graver, scaper, etc., and some remarkable particulars relating to their lives",,"Library of Congress. Lessing J. Rosenwald collection, 2463 English short title catalogue, T69631 LC copy: An index to the collection of 2000 prints, bound in 10 vols., belonging to Mr. John Nickolls. LAC tnb 2020-11-24 update (1 card) LAC ddw 2022-05-25 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-05-25",1748,,early works to 1800 | catalogs | engraving | portraits,https://www.loc.gov/item/18023190/
saxons,Félicien Rops et son œuvre,,"""Il a été tiré en tout 366 exemplaires numérotés: 6 sur simili Japon, 50 sur papier de Chine, 310 sur papier vélin fort""--Half-title verso. ""Table iconographique de l'œuvre gravé et lithographié"": p. [153]-185. Errata leaf at end. LC has copy no. 43 (on China paper) LC copy extra-illustrated with 11 original prints (2 col.) and bound by S. David in gold-tooled brown morocco. LAC knj 2019-09-25 update (1 card) LAC ael 2022-01-28 update (1 card) LAC ael 2022-04-05 no edits (1 card) LAC ddw 2022-06-15 update (1 card)",1897,,"rops, félicien | dlc | bookbinding (binding)",https://www.loc.gov/item/82115458/
saxons,"French engravings of the eighteenth century in the collection of Joseph Widener, Lynnewood hall",,"Paged continuously. Each plate accompanied by guard sheet with descriptive letterpress. ""One hundred and twenty copies have been printed for private circulation only."" ""Foreword"" signed: Edward Clayton. National union catalog, pre-1956 imprints, NW 0279672 (vol. 662, p. 20) Bibliography: v. 4, p. 625-628. LC has copy no. 90. LAC knj 2019-09-23 update (2 cards) LAC ddw 2022-08-02 update (1 card)",1923,,"engravers | france | engraving, french",https://www.loc.gov/item/33002291/
saxons,"The heads of illustrious persons of Great Britain, on one hundred and eight copper-plates",,"Library of Congress. Lessing J. Rosenwald collection, 1751 English short title catalogue, N32847 LC copy has the bookplate of Howard C. Levis. LAC ddw 2022-04-04 update (1 card)",1756,,london | portraits | england | biography | great britain,https://www.loc.gov/item/54000091/
saxons,Catalogue des manuscrits de la Bibliothèque royale des ducs de Bourgogne,,"Compiled by Joseph Marchal while librarian of the Bibliothèque royale des ducs de Bourgogne, before it was merged into the Bibliothèque royale de Belgique in 1838. Vol. 1 contains a comprehensive history of the collection, with chapters on other noted medieval collections; reprints of the catalogs drawn up by Viglius ab Aytta in 1577 and P. Franquen in 1731; ""Inventaire. N°. 1-18000."" Vols. 2-3 (""Répertoire méthodique"") comprise polygraphy and history (v. 3: Histoire des Pays Bas) The work was never completed as planned, but a ""Répertoire onomastique"" was issued by Marchal in 1857. Library of Congress. Lessing J. Rosenwald collection, 2498 LAC ddw 2022-06-01 update (1 card) Rosenwald collection copy listed without call number in Rosenwald bibliography. LAC ddw 2022-06-01",1839,,"sources | libraries | manuscripts, dutch | manuscripts, french | manuscripts | manuscripts, latin (medieval and modern) | belgium | royal houses | medieval | history | netherlands | house of burgundy | netherlands x history | catalogs | bibliography",https://www.loc.gov/item/04008752/
saxons,"Report on the Pepys manuscripts, preserved at Magdalene college, Cambridge",,"At head of title: Historical manuscripts commission. Parliament. Papers by command. Cd. 5721. Report, prepared by E. K. Purnell, on three volumes of manuscripts owned by John Evelyn and sent by him to Pepys in 1681. The earliest is dated 1485, the latest 1702. cf. p. [v]",1911,,sources | stuarts | history | great britain | tudors,https://www.loc.gov/item/ac35001233/
saxons,"Catalogue of engraved portraits of noted personages, principally connected with the history, literature, arts and genealogy of Great Britain. With brief biographical notes, and a topographical index",,"Gift of Lessing J. Rosenwald, 1943-1975. Form AACR 2; vj51 9-29-83. LAC knj 2019-09-17 no edits (1 card)",1903,,"portraits | biography | portrait prints, english | catalogs | great britain",https://www.loc.gov/item/03030497/
saxons,"The works, containing I. The theory of painting. II. Essay on the art of criticism, so far as it relates to painting. III. The science of a connoisseur.",,"With forged Strawberry Hill vignette on title page.; not a genuine Strawberry Hill imprint. Cf. A.T. Hazen. A bibliography of the Strawberry Hill Press. 1942, p. 83. Library of Congress. Lessing J. Rosenwald collection, 1771 English short title catalogue, T52772 Also available in digital form on the Library of Congress Web site. LC copy imperfect: lacks half-title, reading: Supplement to ... Horace Walpole's Anecdotes ... LC copy has bookplate of Howard C. Levis. LAC snh 2019-09-10 update (2 card) LAC ddw 2022-04-06 update (1 card)",1792,,painting | london | england | engraving | early works to 1800,https://www.loc.gov/item/49039819/
saxons,Six centuries of painting,,"The plates are mounted, with guard-sheets with printed captions. Includes index. Gift of Lessing J. Rosenwald, 1943-1975; bookplate of Augusta and Julius Rosenwald; bookplate of Lessing and Edith Rosenwald. Recat. to AACR 2 to adapt. vj03 5/11/83. LAC ael 2019-09-11 no edits (1 card)",1914,,painting | history,https://www.loc.gov/item/a15000100/
saxons,Pen drawing and pen draughtsmen : their work and their methods : a study of the art to-day with technical suggestions /,,"xxxvii, 470 p. : ill. ; 30 cm.",1897,,illustrators | illustration of books | pen drawing,https://www.loc.gov/item/81186564/
saxons,A catalogue raisonné of the select collection of engravings of an amateur,,"Issued anonymously. Martin identifies Thomas Wilson as the collector/author. Twenty large-paper copies privately printed. Cf. Martin. Martin, J. Privately printed books (2nd ed.), p. 366-367 National union catalog, pre-1956 imprints, NW 0356993 (vol. 667, p. 241) LC copy: Gift of Lessing J. Rosenwald, 1943-1975. Author's autograph presentation copy to M. Binda. Has bookplate of Howard C. Levis. LAC knj 2019-09-13 update (1 card) LAC ael 2021-08-10 update (1 card) LAC ddw 2022-08-22 update (1 card)",1828,,"dlc | art collections | bookplates (provenance) | wilson, thomas | private collections | authors' autographs (provenance) | solicitor, agent to lord portman) | engraving | authors' presentation copies (provenance) | catalogs | great britain",https://www.loc.gov/item/81204170/
saxons,"The Book of trades : or, Circle of the useful arts : illustrated by engravings and woodcuts",,"Added engraved t.p., illustrated. Gift of Lessing J. Rosenwald, 1943-1975. Book-plate of Howard C. Levis. LAC nsk 2019-07-23 update (1 card)",1835,,occupations,https://www.loc.gov/item/81186173/
saxons,"The life, journals, and correspondence of Samuel Pepys ... including a narrative of his voyage to Tangier,",,"Library of Congress. Lessing J. Rosenwald collection, 1977 Also available in digital form on the Library of Congress Web site. LAC knj 2019-03-12 update (1 card) LAC ddw 2022-04-25 update (1 card)",1841,,"stuarts | sources | correspondence | cabinet officers | tangier (morocco) | diarists | diaries | 17th century | social life and customs | history | great britain | pepys, samuel | description and travel",https://www.loc.gov/item/05001397/
saxons,"Catalogue of a collection of etched and engraved works by the best masters, formed during thirty years, by James Anderson Rose ... which will be sold by auction, by Messrs. Sotheby, Wilkinson & Hodge ... on Tuesday, the 27th of June 1876 and ten following days ....",,"10 leaves of plates, 301 p. : ports. ; 26 cm.",1876,,"art collections | private collections | rose, james anderson | england | catalogs | prints",https://www.loc.gov/item/84127784/
saxons,William Blake : a critical essay,,"LC copy 3 forms part of the personal library materials in the Joseph and Elizabeth Robins Pennell Collection. Gift of Lessing J. Rosenwald, 1943-1975. Recat. to AACR2: vj15 10-29-96",1868,,"artists | poets, english | blake, william | england | biography | 19th century | 18th century",https://www.loc.gov/item/07010029/
saxons,"Catalogue of a collection of engraved portraits ... : comprising nearly twenty thousand portraits of persons connected with the history and literature of this country, from the earliest period to the present time : with an enumeration of the circumstances connecting the most eminent persons with the various counties of Great Britain, preferments of the clergy, &c. : alphabetically arranged with the names of the painter and engraver, and the size of each plate : now on sale",,"Vol. 2 has title: Catalogue of engraved British portraits, with imprint: London : A. E. Evans & Son. Caption titles: v. 1: Catalogue of prints, part iv; v. 2: Catalogue of British portraits. Issued in 52 parts. National union catalog, pre-1956 imprints, NE 0202701 (vol. 163, p. 635) LC copy: Gift of Lessing J. Rosenwald, 1943-1975. Volumes 1 and 2 have bookplate of Howard C. Levis. Volume 1 has bookplate of Charles Steward. Imprint dates from BLC. LAC knj 2019-09-17 update (2 cards) LAC ddw 2022-07-06 update (1 card)",1836,,"portraits | biography | portrait prints, british | catalogs | great britain",https://www.loc.gov/item/82131768/
saxons,Life was worth living; the reminiscences of W. Graham Robertson;,,"English edition (London, H. Hamilton ltd.) has title: Time was. Gift of Lessing J. Rosenwald, 1943-1975. LAC ael 2019-09-17 update (1 card)",1931,,"artists | robertson, w. graham | biography | walford graham)",https://www.loc.gov/item/31028484/
