title,authors,publisher,publishedDate,description,pageCount,categories,language,isbn,source_query
Marius' Mules V: Hades' Gate Hades' Gate,S.J.A. Turney,Victrix Books,2013-05-16,"54BC. As tensions build in Gaul and the druids manoeuvre the tribes towards general rebellion, Priscus and the diminishing senior staff of Caesar's army prepare to return to Britannia, this time with a vast army and a will to crush the tribes of that mysterious island. Meanwhile in Rome and with his ties to the general severed, Fronto contemplates a non-military future as he settles into the life of a married nobleman, socialising with Rome's elite and coming to terms with the decline in his fitness in recent months. In this year of rising troubles, Priscus will miss his former commander's presence more than ever, while Fronto will learn more than he wishes to of the great Pompey. With rebellious Gauls, defiant Britons, vengeful giants, veteran gladiators and dangerous criminals, Fronto is pushed to the limits, driving him to a decision he dreads and a battle for his very life at the steaming, hellish land of Hades' Gate.",233,Fiction,en,9781484969137,roman identity 5th-7th
En Sofía mathitéfsantes: Essays in Byzantine Material Culture and Society in Honour of Sophia Kalopissi-Verti,"Charikleia Diamanti, Anastasia Vassiliou",Archaeopress Publishing Ltd,2019-12-19,"The 30 studies presented here are dedicated to Sophia Kalopissi-Verti, Emerita of Byzantine Archaeology at the National and Kapodistrian University of Athens. They cover a large variety of topics presenting unpublished archaeological material, suggesting new approaches to various aspects of Byzantine archaeology, material culture and art history.",455,History,en,9781789692631,roman identity 5th-7th
Marius' Mules IV Conspiracy of Eagles,S.J.A. Turney,Victrix Books,2012-10,"in 55 BC Caesar's army gathers in the north of Gaul, preparing to drive invading Germanic peoples from Gaul and traverse the dangerous northern sea to punish the tribes of Britannia for assisting Gaulish rebels.",234,Fiction,en,9781480137349,roman identity 5th-7th
Studies in Byzantine History and Culture A Festschrift for Paul Magdalino,,BRILL,2025-01-27,"This book celebrates one of the foremost Byzantinists, Paul Magdalino. It consists of 25 chapters by peers, friends and former students. The chapters reflect Magdalino’s own research interests, most notably Constantinople itself, and span from late antiquity to the modern world. Particular themes within the book are the topography and monuments of Constantinople, relations between Byzantium and the West, the recasting of Byzantium in the ‘Dark Age’, and literary culture and society under the Macedonian and Komnenian dynasties. The volume is not just a celebration of Magdalino’s work but an important contribution to the study of Byzantine history and culture. Contributors are Christine Angelidi, Michael Angold, Marie-France Auzépy, T.S. Brown, John Burke, J.-C. Cheynet, Evangelos Chrysos, James Crow, Michael Featherstone, Stathis Gauntlett, John Haldon, Elizabeth Jeffreys, Michael Jeffreys, Anthony Kaldellis, Michel Kaplan, Lenia Kouneni, Marc D. Lauxtermann, Nina Macaraig, Athanasios Markopoulos, Rosemary Morris, Margaret Mullett, Paolo Odorico, Eleftheria Papagianni, Roger Scott, Paul Stephenson, Shaun Tougher, Paul Tuffin, and Kostas Zafeiris.",483,History,en,9789004707603,roman identity 5th-7th
"Coptic Culture and Community Daily Lives, Changing Times",Mariam F. Ayad,American University in Cairo Press,2024-01-16,"A wide-ranging exploration of the daily lives of ordinary Coptic Christians, from late Antiquity until today This volume brings together leading experts from a range of disciplines to examine aspects of the daily lived experiences of Egypt’s Coptic Christian minority from late Antiquity to the present. In doing so, it serves as a supplement and a corrective to institutional or theological narratives, which are generally rooted in studying the wielders of historical power and control. Coptic Culture and Community reveals the humanity of the Coptic tradition, giving granular depth to how Copts have lived their lives through and because of their faith for two thousand years. The first three sections consider in turn the breadth of the daily life approach, perspectives on poverty and power in a variety of different contexts, and matters of identity and persecution. The final section reflects on the global Coptic diaspora, bringing themes studied for the early Coptic Church into dialog with Coptic experiences today. These broad categories help to link fundamental questions of socio-religious history with unique aspects of Coptic culture and its vibrant communities of individuals. Contributors: - Nicola Aravecchia, Washington University in St. Louis, St. Louis, Missouri, USA - Mariam F. Ayad, The American University in Cairo, Cairo, Egypt - Renate Dekker, Leiden, the Netherlands - Lois M. Farag, Luther Seminary, St. Paul, Minnesota, USA - Ihab Khalil, Coptic Museum of Canada, Scarborough, Ontario, Canada - A.D. MacDonald, Sydney, Australia - Ash Melika, California Baptist University, Riverside, California, USA - Samuel Moawad, Institute of Egyptology and Coptology, Münster, Germany - Helene Moussa, Coptic Museum of Canada, Scarborough, Ontario, Canada - Alanna Nobbs, Macquarie University, Sydney, Australia - Carolyn Ramzy, Carleton University, Ottawa, Ontario, Canada - Christina Thérèse Rooijakkers, Leiden University, Oegstgeest, the Netherlands - Youhanna Nessim Youssef, Sankt Ignatios College, University College Stockholm, Sweden",476,History,en,9781649033284,roman identity 5th-7th
Alfred's Essentials of Music Theory A Complete Self-study Course for All Musicians,"Andrew Surmani, Karen Farnum Surmani, Morton Manus",Alfred Music Publishing,2004,"This practical, easy-to-use, self-study course is perfect for pianists, guitarists, instrumentalists, vocalists, songwriters, arrangers and composers, and includes ear training CDs to help develop your musical ear. In this all-in-one theory course, you will learn the essentials of music through 75 concise lessons, practice your music reading and writing skills in the exercises, improve your listening skills with the enclosed ear training CDs, and test your knowledge with a review that completes each of the 18 units. Answers are included in the back of the book for all exercises, ear training and review.",156,Music,en,0739036351,roman identity 5th-7th
"Thought, Culture, and Historiography in Christian Egypt, 284-641 AD","Tarek M. Muhammad, Cornelia Römer",Cambridge Scholars Publishing,2021-03-01,"This book contains 15 papers which were presented by specialists from Europe and Egypt at two conferences held at Ain Shams University, Egypt, in 2014 and 2015. Eight of the articles deal with the history of Late Antique Egypt in its manifold aspects, from monasticism and Coptic manuscripts, to the organization of the Arab conquest. The other seven contributions provide new writings from that historical period published here for the first time, or give new readings of texts earlier known as inscriptions, papyri and ostraca, and offer a close-up look at the historical setting outlined in the first part of this book.",271,History,en,9781527566798,roman identity 5th-7th
Art and Architecture of the Synagogue in Late Antique Palestine In the Shadow of the Church,David William Milson,BRILL,2006-12-31,"This study examines the material evidence for synagogues and churches in the Holy Land from the age of Constantine in the fourth century CE to the Arab conquest of the eastern provinces in the seventh century CE. Whereas scholars once viewed the growth of the Byzantine empire as time of persecution, a re-evaluation of the archaeological evidence indicates that Jews prospered along with their Christian neighbours. What influence did Christian art and architecture have on ancient synagogues? In the sixth century, one-third of all known synagogues in Palestine bear features similar to early Byzantine churches: basilical layouts, mosaic floors, apses, and chancel screens. Focusing on these features sheds light on how Jewish communities met the challenges posed by the Church’s development into a major religious and political power. This book provides a critical analysis of the archaeological evidence as a basis for our better understanding of Jewish identity and community in late Antique Palestine.",608,Religion,en,9789047418719,roman identity 5th-7th
Local Self-Governance in Antiquity and in the Global South Theoretical and Empirical Insights from an Interdisciplinary Perspective,"Dominique Krüger, Christoph Mohamad-Klotzbach, Rene Pfeilschifter",Walter de Gruyter GmbH & Co KG,2022-12-31,"The nucleus of society is situated at the local level: in the village, the neighborhood, the city district. This is where a community first develops collective rules that are intended to ensure its continued existence. The contributors look at such configurations in geographical areas and time periods that lie outside of the modern Western world with its particular development of society and statehood: in Antiquity and in the Global South of the present. Here states tend to be weak, with obvious challenges and opportunities for local communities. How does governance in this context work? Scholars from various disciplines (Classics, Theology, Political Science, Sociology, Social Anthropology, Human Geography, Sinology) analyze different kinds of local arrangements in case studies, and they do so with a comparative approach. The sixteen papers examine the scope and spatial contingency of forms of self-governance; its legitimization and the collective identity of the groups behind them; the relations to different levels of state governance as well as to other local groups. Overall, this volume makes an interdisciplinary contribution to a better understanding of fundamental elements of local governance and statehood.",543,Literary Criticism,en,9783110798326,roman identity 5th-7th
A History of Early Medieval Europe From 476-911,Margaret Deanesley,Routledge,2019-06-26,"Originally published in 1956, A History of Early Medieval Europe traces the changes that took place in Europe between the fifth and tenth centuries, a time of social and political upheaval, when the organization of the Roman Empire, with its single emperor, army and civil service, was replaced by the divided Europe of the Germanic kingdom in the west and the Byzantine empire in the east.",548,History,en,9780429589942,early medieval history
History and Identity in Early Medieval Wales,Rebecca Thomas,Boydell & Brewer,2022,"Crucial texts from ninth- and tenth-century Wales analysed to show their key role in identify formation. WINNER OF THE FRANCIS JONES PRIZE 2022 Early medieval writers viewed the world as divided into gentes (""peoples""). These were groups that could be differentiated from each other according to certain characteristics - by the language they spoke or the territory they inhabited, for example. The same writers played a key role in deciding which characteristics were important and using these to construct ethnic identities. This book explores this process of identity construction in texts from early medieval Wales, focusing primarily on the early ninth-century Latin history of the Britons (Historia Brittonum), the biography of Alfred the Great composed by the Welsh scholar Asser in 893, and the tenth-century vernacular poem Armes Prydein Vawr (""The Great Prophecy of Britain""). It examines how these writers set about distinguishing between the Welsh and the other gentes inhabiting the island of Britain through the use of names, attention to linguistic difference, and the writing of history and origin legends. Crucially important was the identity of the Welsh as Britons, the rightful inhabitants of the entirety of Britain; its significance and durability are investigated, alongside its interaction with the emergence of an identity focused on the geographical unit of Wales.",218,History,en,9781843846277,early medieval history
God and History in the Early Medieval West The Theology of Carolingian Historians,Robert A. H. Evans,Oxford University Press,2025-08-01,"While virtually all early medieval historians wrote about God, they did not do so in the same way. Rather than taking their comments about God at face value then, as has been the case in much work on medieval history-writing, they are deserving of closer scrutiny, with implications not simply for how we understand the key narrative sources for early medieval history, but also the cultures in which they originated. Seeking to fill this historiographical gap, this book explores, through the prolific writing of historians in the Carolingian Empire, how historians in early medieval societies thought about God and what this meant for themselves and their audiences. It argues that although Carolingian historians wrote about God's agency with tremendous literary subtlety, while reflecting complex theological ideas and attempting to intervene into challenging political realities, in many respects they also broke with the example of early Christian historians from Late Antiquity, which demonstrates that writing about God was neither a uniform nor inevitable part of early medieval history writing. As well as yielding new insights into the nature of these crucial primary sources, this analysis helps to provide an overdue examination of the complex relationship between religion and history writing in early medieval societies. The book demonstrates that comments about God cannot be reduced to mere political propaganda or even moralistic encouragements for early medieval Christians to lead better lives. Instead, it argues that these historians sought to communicate a robust theology of divine activity which was relevant and useful for those involved in the often-threatening world of Carolingian public life.",295,Religion,en,9780198957256,early medieval history
Narrative and History in the Early Medieval West,"Elizabeth M. Tyler, Ross Balzaretti",Brepols Publishers,2006,"The papers gathered in this volume were all given in 1999 - at the International Congress on Medieval Studies in Kalamazoo, at the International Medieval Congress in Leeds and during a day conference held at York. They agree that looking at the wide range of narrative forms available provides new ways of viewing the Middle Ages.",288,History,en,,early medieval history
Writing the Barbarian Past: Studies in Early Medieval Historical Narrative,Shami Ghosh,BRILL,2015-10-27,"Writing the Barbarian Past examines the presentation of the non-Roman, pre-Christian past in Latin and vernacular historical narratives composed between c.550 and c.1000: the Gothic histories of Jordanes and Isidore of Seville, the Fredegar chronicle, the Liber Historiae Francorum, Paul the Deacon’s Historia Langobardorum, Waltharius, and Beowulf; it also examines the evidence for an oral vernacular tradition of historical narrative in this period. In this book, Shami Ghosh analyses the relative significance granted to the Roman and non-Roman inheritances in narratives of the distant past, and what the use of this past reveals about the historical consciousness of early medieval elites, and demonstrates that for them, cultural identity was conceived of in less binary terms than in most modern scholarship.",329,History,en,9789004305816,early medieval history
"The Languages of Early Medieval Charters Latin, Germanic Vernaculars, and the Written Word",,BRILL,2020-11-23,"This is the first major study of the interplay between Latin and Germanic vernaculars in early medieval records. Building on previous work on the uses of the written word in the early Middle Ages, which has dispelled the myth that this was an age of ‘orality’, the contributions in this volume bring to the fore the crucial question of language choice in the documentary cultures of early medieval societies. Specifically, they examine the interactions between Latin and Germanic vernaculars in the Anglo-Saxon and eastern Frankish worlds and in neighbouring areas. The chapters are underpinned by an important comparative dimension on account of the two regions’ shared linguistic heritage and numerous cross-Channel links. Contributors are: Stefan Esders, Albert Fenton, Robert Gallagher, Wolfgang Haubrichs, Charles Insley, Kathryn A. Lowe, Rosamond McKitterick, Rory Naismith, Janet L. Nelson, Edward Roberts, Annina Seiler, Marco Stoffella, Francesca Tinti, Kate Wiles, Bernhard Zeller. See inside the book.",564,Literary Criticism,en,9789004432338,early medieval history
East and West in the Early Middle Ages,"Stefan Esders, Yaniv Fox, Yitzhak Hen, Laury Sarti",Cambridge University Press,2024-09-19,"From their crystallisation in the late fifth century to their ultimate decline in the eighth, the Merovingian kingdoms were a product of a vibrant Mediterranean society with both a cultural past and a dynamic and ongoing dialogue between the member communities. By bringing together the scholarship of historians, archaeologists, art historians, and manuscript researchers, this volume examines the Merovingian world's Mediterranean connections. The Franks' cultural horizons spanned not only the Latin-speaking world, but also the Byzantine Empire, northern Europe, Sassanid Persia, and, after the seventh century, a quickly ascendant Islamic culture. Traces of a constant movement of people and cultural artefacts through this world are ubiquitous. As simultaneous consumers, adapters, and disseminators of culture, the degree to which the Merovingian kingdoms were thought to engage with their neighbours is re-evaluated as this volume analyses written accounts, archaeological findings and artefacts to provide new perspectives on Merovingian wide-ranging relations.",0,History,en,1009563653,early medieval history
The Long Morning of Medieval Europe New Directions in Early Medieval Studies,"Jennifer R. Davis, Michael McCormick","Ashgate Publishing, Ltd.",2008,"Scholars from Europe and North America convened at Harvard University in 2004 for an interdisciplinary conference aimed at Rethinking the Early Middle Ages. What are the issues and techniques of research defining the field today, and what will they be tom",380,History,en,0754662543,early medieval history
Paradigms and Methods in Early Medieval Studies,"C. Chazelle, F. Lifshitz",Springer,2016-04-30,"The articles in this volume, by scholars all pursuing careers in the United States, concern the theoretical approaches and methods of early medieval studies. Most of the issues examined span the period from roughly 400 to 1000 CE and regions stretching from westernmost Eurasia to the Black Sea and the Baltic. This is the first volume of essays explicitly to reassess the heuristic structures and methodologies of research on ""early medieval Europe."" Because of its geographic, chronological, thematic, and methodological diversity and scope, the collection also showcases the breadth of early medieval studies currently practiced in the United States.",264,History,en,9781137123053,early medieval history
Symbolic Reproduction in Early Medieval England Secular and Monastic Households,Katharine Sykes,Oxford University Press,2024-07-12,"In the early Middle Ages, the conversion of the early English kingdoms acted as a catalyst for significant social and cultural change. One of the most visible of these changes was the introduction of a new type of household: the monastic household. These reproduced through education and training, rather than biological means; their inhabitants practised celibacy as a lifelong state, rather than as a stage in the life course. Because monastic households depended on secular households to produce the next generation of recruits, previous studies have tended to view them as more mutable than their secular counterparts, which are implicitly regarded as natural and ahistorical. Katharine Sykes charts some of the significant changes to the structure of households between the seventh to eleventh centuries, as ideas of spiritual, non-biological reproduction first fostered in monastic households were adopted in royal households in the tenth and eleventh centuries, and as ideas about kinship that were generated in secular households, such as the relationship between genealogy and inheritance, were picked up and applied by their monastic counterparts. In place of binary divisions between secular and monastic, biological and spiritual, real and imagined, Sykes demonstrates that different forms of kinship and reproduction in this period were intimately linked.",240,History,en,9780192659125,early medieval history
"Early Medieval Britain, c. 500–1000",Rory Naismith,Cambridge University Press,2021-07-15,"Deconstructs the early history of Britain, illustrating a transformative era with wide-ranging sources and an accessible narrative.",493,History,en,9781108424448,early medieval history
Britain and Early Christian Europe Studies in Early Medieval History and Culture,Patrick Sims-Williams,Routledge,1995,"This volume, which contains about a third of Professor Sims-Williams' articles from 1975 to 1994 includes those of most interest to early medieval historians. The first two articles are his Oxford O'Donnell lectures on the Coming of the Saxons, and the third discusses medieval Welsh reactions to this turning-point in the history of Britain. Three articles then discuss the earliest Anglo-Saxon and Welsh charters, in particular as evidence for external influences, a theme which is then developed in the rest of the book, which covers such matters as the import and export of patristic manuscripts, the collection and imitation of Christian Latin poetry, the influence of Irish culture, and the Insular and continental contributions to the development of the early medieval private prayer-book, a genre which affords vital information on cultural contacts between Britain, Ireland and continental Europe in the Early Middle Ages.",414,History,en,,early medieval history
Perceptions of the Past in the Early Middle Ages,Rosamond McKitterick,,2006,"In these essays, McKitterick establishes that early medieval historians conveyed in their texts a sophisticated set of multiple perceptions of the past.",176,History,en,,early medieval history
Italy and Early Medieval Europe Papers for Chris Wickham,"Ross Balzaretti, Julia Barrow, Patricia Skinner",Oxford University Press,2018-07-26,"A comprehensive survey of recent work in Medieval Italian history and archaeology by an international cast of contributors, arranged within a broader context of studies on other regions and major historical transitions in Europe, c.400 to c.1400CE. Each of the contributors reflect on the contribution made to the field by Chris Wickham, whose own work spans studies based on close archival work, to broad and ambitious statements on economic and social change in the transition from Roman to medieval Europe, and the value of comparing this across time and space.",582,History,en,9780191083266,early medieval history
The Resources of the Past in Early Medieval Europe,"Clemens Gantner, Rosamond McKitterick, Sven Meeder",,2015,"""This volume analyses the importance of history, the textual resources of the past and the integration of Christian and imperial Rome into the cultural memory of early medieval Europe within the wider question of identity formation. The case studies in this book shed new light on the process of codification and modification of cultural heritage in the light of the transmission of texts and the extant manuscript evidence from the early middle ages. The authors demonstrate how particular texts and their early medieval manuscript representatives in Italy, Francia, Saxony and Bavaria not only reflect ethnic, social and cultural identities but themselves contributed to the creation of identities, gave meaning to social practice, and were often intended to inspire, guide, change, or prevent action, directly or indirectly. These texts are shown to be part of a cultural effort to shape the present by restructuring the past""--",354,Bible,en,1316235343,early medieval history
"Barbarian Migrations and the Roman West, 376–568",Guy Halsall,Cambridge University Press,2007-12-20,"This is a major survey of the barbarian migrations and their role in the fall of the Roman Empire and the creation of early medieval Europe, one of the key events in European history. Unlike previous studies it integrates historical and archaeological evidence and discusses Britain, Ireland, mainland Europe and North Africa, demonstrating that the Roman Empire and its neighbours were inextricably linked. A narrative account of the turbulent fifth and early sixth centuries is followed by a description of society and politics during the migration period and an analysis of the mechanisms of settlement and the changes of identity. Guy Halsall reveals that the creation and maintenance of kingdoms and empires was impossible without the active involvement of people in the communities of Europe and North Africa. He concludes that, contrary to most opinions, the fall of the Roman Empire produced the barbarian migrations, not vice versa.",519,History,en,9781107393325,barbarian migrations
Barbarian Tides The Migration Age and the Later Roman Empire,Walter Goffart,University of Pennsylvania Press,2010-11-25,"The Migration Age is still envisioned as an onrush of expansionary ""Germans"" pouring unwanted into the Roman Empire and subjecting it to pressures so great that its western parts collapsed under the weight. Further developing the themes set forth in his classic Barbarians and Romans, Walter Goffart dismantles this grand narrative, shaking the barbarians of late antiquity out of this ""Germanic"" setting and reimagining the role of foreigners in the Later Roman Empire. The Empire was not swamped by a migratory Germanic flood for the simple reason that there was no single ancient Germanic civilization to be transplanted onto ex-Roman soil. Since the sixteenth century, the belief that purposeful Germans existed in parallel with the Romans has been a fixed point in European history. Goffart uncovers the origins of this historical untruth and argues that any projection of a modern Germany out of an ancient one is illusory. Rather, the multiplicity of northern peoples once living on the edges of the Empire participated with the Romans in the larger stirrings of late antiquity. Most relevant among these was the long militarization that gripped late Roman society concurrently with its Christianization. If the fragmented foreign peoples with which the Empire dealt gave Rome an advantage in maintaining its ascendancy, the readiness to admit military talents of any social origin to positions of leadership opened the door of imperial service to immigrants from beyond its frontiers. Many barbarians were settled in the provinces without dislodging the Roman residents or destabilizing landownership; some were even incorporated into the ruling families of the Empire. The outcome of this process, Goffart argues, was a society headed by elites of soldiers and Christian clergy—one we have come to call medieval.",384,History,en,9780812200287,barbarian migrations
Byzantium in the Eleventh Century Being in Between,"Marc D. Lauxtermann, Mark Whittow",Routledge,2019-10-18,"The eleventh century in Byzantium is all about being in between, whether this is between Basil II and Alexios Komnenos, between the forces of the Normans, the Pechenegs and the Turks, or between different social groupings, cultural identities and religious persuasions. It is a period of fundamental changes and transformations, both internal and external, but also a period rife with clichés and dominated by the towering presence of Michael Psellos whose usually self-contradictory accounts continue to loom large in the field of Byzantine studies. The essays collected here, which were delivered at the 45th Spring Symposium of Byzantine Studies, explore new avenues of research and offer new perspectives on this transitional period. The book is divided into four thematic clusters: 'The age of Psellos' studies this crucial figure and seeks to situate him in his time; 'Social structures' is concerned with the ways in which the deep structures of Byzantine society and economy responded to change; 'State and Church' offers a set of studies of various political developments in eleventh-century Byzantium; and 'The age of spirituality' offers the voices of those for whom Psellos had little time and little use: monks, religious thinkers and pious laymen.",252,History,en,9781351803960,barbarian migrations
Barbarian Europe,Philip Dixon,Elsevier-Phaidon,1976,"A history of the so-called ""Dark Ages"", or early Middle Ages, beginning with the fall of the Roman Empire, and ending around the 11th century. Includes a good chronology and beautiful illustrations typical of Time-Life books.",160,History,en,,barbarian migrations
The Invasion of Europe by the Barbarians,J. B. Bury,Jovian Press,2017-12-20,"THE present series of lectures is designed to give a broad and general view of the long sequence of the migratory movements of the northern barbarians which began in the third and fourth centuries A. D. and cannot be said to have terminated till the ninth. This long process shaped Europe into its present form, and it must be grasped in its broad outlines in order to understand the framework of modern Europe. There are two ways in which the subject may be treated, two points of view from which the sequence of changes which broke up the Roman Empire may be regarded. We may look at the process, in the earliest and most important stage, from the point of view of the Empire which was being dismembered or from that of the barbarians who were dismembering it. We may stand in Rome and watch the strangers sweeping over her provinces; or we may stand east of the Rhine and north of the Danube, amid the forests of Germany, and follow the fortunes of the men who issued thence, winning new habitations and entering on a new life. Both methods have been followed by modern writers. Gibbon and many others have told the story from the side of the Roman Empire, but all the principal barbarian peoples - not only those who founded permanent states, but even those who formed only transient kingdoms - have had each its special historian. One naturally falls into the habit of contemplating these events from the Roman side because the early part of the story has come down to us in records which were written from the Roman side. We must, however, try to see things from both points of view...",141,History,en,9781537809656,barbarian migrations
Empires and Barbarians,Peter J. Heather,Pan Macmillan,2009,"""At the start of the first millennium AD, southern and western Europe formed part of the Mediterranean-based Roman Empire, the largest state western Eurasia has ever known, and was set firmly on a trajectory towards towns, writing, mosaics, and central heating. Central, northern and eastern Europe was home to subsistence farmers, living in wooden houses with mud floors, whose largest political units weighed in at no more than a few thousand people. By the year 1000, Mediterranean domination of the European landscape had been destroyed. Instead of one huge Empire facing loosely organized subsistence farmers, Europe - from the Atlantic almost to the Urals - was home to an interacting commonwealth of Christian states, many of which are still with us today. This book tells the story of the transformations which changed western Eurasia forever : of the birth of Europe itself""--Provided by publisher.",776,History,en,,barbarian migrations
Viking Heritage and History in Europe Practices and Re-creations,"Sara Ellis Nilsson, Stefan Nyzell",Taylor & Francis,2024-03-06,"Viking Heritage and History in Europe presents new research and perspectives on the use of the Vikings in public history, especially in relation to museums, re-creation, and re-enactment in a European context. Taking a critical heritage approach, the volume provides new insights into the re-creation of history, imagining the past, interpretation, ambivalence of authenticity, authority of History, remembrance and memory, medievalism, and public history. Highlighting the complexity of the field of public history today, the fourteen chapters all engage with questions of historical authenticity and authority. The volume also critically examines the public’s reception, engagement with, and interpretation of the Viking Age and the concepts of who these individuals were. Each chapter illuminates an aspect of these themes in relation to museums, leisure activities, politics, tourism, re-enactment, and popular culture – all from the vantage point of Viking cultural heritage. Viking Heritage and History in Europe is one of the first volumes to examine the use and role of the Vikings within the field of public history, both past and present. The book will be of interest to those engaged in the study of heritage, public history, history, the Vikings, vikingism, medievalism, and media history.",243,Art,en,9781003861485,vikings
The Viking Heart How Scandinavians Conquered the World,Arthur Herman,Mariner Books,2021,"From a New York Times best-selling historian and Pulitzer Prize finalist, a sweeping epic of how the Vikings and their descendants have shaped history and America",519,History,en,9781328595904,vikings
"The Performance of Viking Identity in Museums Useful Heritage in the British Isles, Iceland, and Norway",Guðrún D. Whitehead,Taylor & Francis,2024-08-12,"The Performance of Viking Identity in Museums explores the representations and uses of Vikings in museums across Iceland, British Isles and Norway. Drawing on theories from history, philosophy, museology, and sociology, the book analyses how the Viking myth is used by visitors to make sense of present-day society, culture, and politics and the role of museums in this meaning-making process. Demonstrating that the Viking myth is present in collective memory and plays an important role in the construction and modification of collective, national, and personal identities, the book analyses this process through the framework of museums and their visitors. Identifying museums as places where heritage, identity and social norms are affirmed and reflected upon, Whitehead demonstrates that all countries use their Viking heritage to define their identity on a local and international level - through tourist attractions such as museums and other Viking-related monuments and merchandise. Providing readers with an insight into Vikings and their social relevance today, The Performance of Viking Identity in Museums will be of great interest to academics and researchers across the social and human sciences. It should also be essential reading for museum professionals working in museums around the world.",200,Art,en,9781351036009,vikings
Vikings,Peter Chrisp,BBC Books,1994,"Uses the viewpoint of an eight-year-old tenth-century Viking girl to present information about her village, the homes, families, clothing, food, gods, and customs. Includes activities and projects.",52,History,en,0563352590,vikings
Women in the Viking Age,Judith Jesch,Boydell & Brewer Ltd,1991,"Through runic inscriptions and behind the veil of myth, Jesch discovers the true story of viking women. Well-illustrated, closely argued and fascinating. GUARDIAN This is the first book-length study in English to investigate what women did in the Viking age, both at home in Scandinavia and in the Viking colonies from Greenland to Russia. Evidence for their lives is fragmentary, but Judith Jesch assembles the clues provided by archaeology, runic inscriptions, place names and personal names, foreign historical records and Old Norse literature and mythology. These sources illuminate different aspects of women's lives in the Viking age, on the farms and in the trading centres of Scandinavia, abroad on Viking expeditions, and as settlers in places such as Iceland and the British Isles. Women in the Viking Age explores an unfamiliar aspect of medieval history and offers a new perspective on Viking society, very different from the traditional picture of a violent and male-dominated world. JUDITH JESCH is Reader in Viking Studies at the University of Nottingham.",250,History,en,9780851153605,vikings
How People Lived in Viking Times,Colin Hynson,"The Rosen Publishing Group, Inc",2008-07-15,"Describes everyday life among the Vikings, covering family life, government, marriage, education, occupations, clothing, leisure, food and drink, religion, and funerals.",32,Juvenile Nonfiction,en,1404244344,vikings
Viking Invaders and Settlers,Peter D. Riley,Evans Brothers,2006,"Describes the Viking invasions that led to their settling in Britain, their way of life and the influence this had on the English language and customs. Suggested level : primary, intermediate.",40,History,en,0237530392,vikings
The Viking's Dirham: Trade and Politics in the Early Medieval World,Pasquale De Marco,Pasquale De Marco,2025-08-13,"The Viking Age was a period of great change and upheaval in Europe. The Vikings, a seafaring people from Scandinavia, raided and traded throughout the continent, leaving a lasting impact on the history of many countries. One of the most important objects that the Vikings brought with them was the dirham, a silver coin that was widely used in the Islamic world. The dirham was first introduced to the Vikings through their trading contacts with the Abbasid Caliphate. The Caliphate was a powerful Islamic empire that stretched from Spain to India. The dirham was the official currency of the Caliphate, and it was widely used in trade throughout the Islamic world. The Vikings quickly recognized the value of the dirham. It was a stable currency that was accepted by merchants throughout the Islamic world. The Vikings began to use the dirham to pay for goods and services, and they also used it to store their wealth. The dirham had a profound impact on the Viking economy. It allowed the Vikings to participate in the lucrative trade networks of the Islamic world. The Vikings used the dirham to purchase luxury goods, such as silk, spices, and jewelry. They also used the dirham to purchase weapons and armor. The dirham also had a significant impact on Viking society. It was used to pay for food, clothing, and shelter. The dirham was also used to pay for fines and other legal obligations. This book examines the role of the dirham in the Viking Age. It explores the economic, social, and political impact of the dirham on the Vikings. The book also discusses the legacy of the dirham in Viking history. This book is a valuable resource for anyone interested in the Viking Age. It provides a comprehensive overview of the role of the dirham in Viking history. The book is written in a clear and engaging style, and it is accessible to readers of all levels. If you like this book, write a review!",146,History,en,,vikings
Historical Dictionary of the Vikings,Katherine Holman,Bloomsbury Publishing PLC,2003-09-29,"The Historical Dictionary of the Vikings traces Viking activity in Europe, North America, and Asia for over three centuries. During this period people from Scandinavia used their longships to launch lightning raids upon their European neighbors, to colonize new lands in the east and west, and to exchange Scandinavian furs for eastern wine and spices and Arab silver. The Viking age also saw significant changes at home in Scandinavia - kings extended their power, Norse paganism lost ground to christianity, and new towns and ports thrived as a result of increased contact with the wider world. This book provides a comprehensive work of reference for people interested in the Vikings, including entries on the main historical figures involved in this dramatic period, important battles and treaties, significant archaeological finds, and key works and sources of information on the period. It also summarizes the impact the Vikings had on the areas where they traveled and settled. There is a chronological table, detailed and annotated bibliographies for different themes and geographical locations, and an introduction discussing the major events and developments of the Viking age.",404,History,en,9780810865891,vikings
Vikings,Tracey Ann Schofield,Teaching and Learning Company,2002-03,"Replicate jewelry, write legends and bake bread the Scandinavian way as you go back to the world of the Vikings",52,History,en,157310356X,vikings
The Crucified God in the Carolingian Era Theology and Art of Christ's Passion,Celia Chazelle,Cambridge University Press,2001-07-05,"The Carolingian 'Renaissance' of the late eighth and ninth centuries, in what is now France, western Germany and northern Italy, transformed medieval European culture. At the same time it engendered a need to ensure that clergy, monks and laity embraced orthodox Christian doctrine. This book offers a fresh perspective on the period by examining transformations in a major current of thought as revealed through literature and artistic imagery: the doctrine of the Passion and the crucified Christ. The evidence of a range of literary sources is surveyed - liturgical texts, poetry, hagiography, letters, homilies, exegetical and moral tractates - but special attention is given to writings from the discussions and debates concerning artistic images, Adoptionism, predestination and the Eucharist.",364,Art,en,0521801036,carolingian
